gas,PID,Type,SMILES
CH4,LP82,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12
CH4,LP93,semi-ladder,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NC2=CC3=C(C=C2O1)C1=C(C=CC=C1)C31C2=C(C=CC=C2)C2=C1C=C1OC(*)=NC1=C2)C(F)(F)F
CH4,LP32,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)C=C1
CH4,LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1
CH4,LP67,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C1=O)=C2C
CH4,LP41,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(C=C2)C(C2=CC=C(C=C2)N2C(=O)C3=C(C=C(*)C(*)=C3)C2=O)(C(F)(F)F)C(F)(F)F)C2=CC(O*)=C(O*)C=C12
CH4,LP70,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C
CH4,LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C
CH4,LP66,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2C1=O
CH4,LP35,semi-ladder,CCC12C3=CC(*)=C(*)C=C3C(CC)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O)(C(F)(F)F)C(F)(F)F
CH4,LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1
CH4,LP98,ladder,*CN1CN(*)CC2=C1C=CC1=CC3=C(C=C21)C1CC3C2=C1C=C1C=CC3=C(CN(*)CN3C*)C1=C2
CH4,LP17,ladder,CC1(C)CCC(C)(C)C2=CC3=CC4=C(C=C3C=C12)C1C2=C(C=C(*)C(*)=C2)C4C2=C1C=C1CN(*)CN(*)C1=C2
CH4,LP94,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=CC(*)=C4)C2=CC3=C(OC4=CC(=CC=C4O3)C3=NC4=CC5=C(C=C4O3)C3=C(C=CC=C3)C53C4=C(C=CC=C4)C4=C3C=C3OC(*)=NC3=C4)C=C12
CH4,LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O
CH4,LP75,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C3=C2C2C4=C(C=CC=C4)C3C3=C2C=CC=C3)C=CC(*)=C1
CH4,LP71,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C3=CC5=C(C=C3C3=C2C=CC=C3)C(=O)N(*)C5=O)C2=C4C=CC=C2)C(C)=C1
CH4,LP44,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(C)CCC3(C)C2=C1C=C1C(=O)N(*)C(=O)C1=C2
CH4,LP96,semi-ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C=CC(=C5)C4=NC5=C(O4)C=CC(=C5)C(C4=CC5=C(C=C4)N=C(*)O5)(C(F)(F)F)C(F)(F)F)C=C23)C2=CC3=C(OC4=CC(*)=CC=C4O3)C=C12
CH4,LP21,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC=C(C=C4C3=O)C(C3=CC4=C(C=C3)C(=O)N(*)C4=O)(C(F)(F)F)C(F)(F)F)=C2C)C(C)=C1*
CH4,LP40,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=CC3=C(C=C2)C(C)(C)C2(CC4=C(C=CC(*)=C4)C2(C)C)C3)C2=CC3=C(C=C12)C(=O)N(*)C3=O
CH4,LP50,semi-ladder,*OC1=C2C3C4=C(C=CC=C4)C(C4=C3C=CC=C4)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C=C1
CH4,LP91,semi-ladder,CC12C3=C(C=CC=C3)C(C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=CC(=C1)C(C1=CC=C(O)C(*)=C1)(C(F)(F)F)C(F)(F)F
CH4,LP24,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(CC(C)(C)C4=CC6=C(C=C34)C(=O)N(*)C6=O)CC5(C)C)=C2C)C(C)=C1*
CH4,LP100,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C
CH4,LP92,semi-ladder,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2N=C(*)OC2=C1)(C(F)(F)F)C(F)(F)F
CH4,LP51,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N=C4C=C(O*)C(O*)=CC4=NC2=C3)C2=C1C=C(*)C(*)=C2
CH4,LP73,semi-ladder,CC1=C(*)C2=CC=CC=C2C(=C1)C1=CC(C)=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C)C3=C(C=CC=C3)C4(C)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C2=C1C=CC=C2
CH4,LP14,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N(C*)CN(*)CC2=C3)C2=CC(*)=C(*)C=C12
CH4,LP65,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(C=C3C1=O)C(C1=CC3=C(C=C1)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)=C2C
CH4,LP76,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1
CH4,LP101,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C
CH4,LP49,semi-ladder,*OC1=C2C3C4CCCCC4C(C4CCCCC34)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C2=C1C1C3=C(C=CC=C3)C2C2=C1C=CC=C2
CH4,LP78,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C(=O)C2CC4C(=O)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1
CH4,LP74,semi-ladder,CC(C)C12C3=C(C=CC=C3)C(C(C)C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(C)C=C(C2=CC(C)=C(*)C3=CC=CC=C23)C2=C1C=CC=C2
CO2,LP32,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)C=C1
CO2,LP82,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C(CN)=C(*)C(*)=C4CN)C2=CC(O*)=C(O*)C=C12
CO2,LP67,semi-ladder,CC1=C(*)C=CC2=C1N1CN(C2)C2=C(C1)C=CC(N1C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C1=O)=C2C
CO2,LP93,semi-ladder,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NC2=CC3=C(C=C2O1)C1=C(C=CC=C1)C31C2=C(C=CC=C2)C2=C1C=C1OC(*)=NC1=C2)C(F)(F)F
CO2,LP44,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(C)CCC3(C)C2=C1C=C1C(=O)N(*)C(=O)C1=C2
CO2,LP98,ladder,*CN1CN(*)CC2=C1C=CC1=CC3=C(C=C21)C1CC3C2=C1C=C1C=CC3=C(CN(*)CN3C*)C1=C2
CO2,LP51,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N=C4C=C(O*)C(O*)=CC4=NC2=C3)C2=C1C=C(*)C(*)=C2
CO2,LP50,semi-ladder,*OC1=C2C3C4=C(C=CC=C4)C(C4=C3C=CC=C4)C2=C(OC2=CC=C3N=C4N(C3=C2)C(=O)C2=CC=CC3=C2C4=CC=C3C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C4=CC=CC2=C34)C=C1
CO2,LP71,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C3=CC5=C(C=C3C3=C2C=CC=C3)C(=O)N(*)C5=O)C2=C4C=CC=C2)C(C)=C1
CO2,LP47,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1)N1C(=O)C2=C(C=C(O*)C(O*)=C2)C1=O
CO2,LP24,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(CC(C)(C)C4=CC6=C(C=C34)C(=O)N(*)C6=O)CC5(C)C)=C2C)C(C)=C1*
CO2,LP104,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2C(=O)N(C(=O)C2=C3)C2=C3CN4CN(CC5=C4C=CC(O)=C5*)C3=CC=C2O)C2=CC3=C(C=C12)C(=O)N(*)C3=O
CO2,LP77,semi-ladder,CC1=CC(=C2C=CC=CC2=C1*)C1=C2C=CC=CC2=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2CC(C4)C3=C(C2)C=C2C(=O)N(*)C(=O)C2=C3)C(C)=C1
CO2,LP19,ladder,CC(C)C12C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C(O*)C(O*)=CC=C21
CO2,LP103,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C2CN3CN(CC4=C3C=CC(O)=C4*)C2=CC=C1O)C(C)(C)C
CO2,LP14,ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2N(C*)CN(*)CC2=C3)C2=CC(*)=C(*)C=C12
CO2,LP89,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC=C(OC3=CC=C(OC4=CC=C(*)C=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)C=C2)C=C1)C(F)(F)F
CO2,LP94,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=CC(*)=C4)C2=CC3=C(OC4=CC(=CC=C4O3)C3=NC4=CC5=C(C=C4O3)C3=C(C=CC=C3)C53C4=C(C=CC=C4)C4=C3C=C3OC(*)=NC3=C4)C=C12
CO2,LP96,semi-ladder,CC1(C)CC2(CC(C)(C)C3=CC4=C(OC5=C(O4)C=CC(=C5)C4=NC5=C(O4)C=CC(=C5)C(C4=CC5=C(C=C4)N=C(*)O5)(C(F)(F)F)C(F)(F)F)C=C23)C2=CC3=C(OC4=CC(*)=CC=C4O3)C=C12
CO2,LP36,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1C)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(C)C=C1)(C(F)(F)F)C(F)(F)F
CO2,LP20,ladder,CCCC12C3=CC=C(O*)C(O*)=C3C(CCC)(C3=CC4=NC5=C(C=C(*)C(*)=C5)N=C4C=C13)C1=C2C=CC=C1
CO2,LP41,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C2OC4=C(OC2=C3)C=C2C(=O)N(C(=O)C2=C4)C2=CC=C(C=C2)C(C2=CC=C(C=C2)N2C(=O)C3=C(C=C(*)C(*)=C3)C2=O)(C(F)(F)F)C(F)(F)F)C2=CC(O*)=C(O*)C=C12
CO2,LP5,ladder,CC12CCC(C)(C3=CC(*)=C(*)C=C13)C1=C2C=C2CN(*)CN(C*)C2=C1
CO2,LP74,semi-ladder,CC(C)C12C3=C(C=CC=C3)C(C(C)C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(C)C=C(C2=CC(C)=C(*)C3=CC=CC=C23)C2=C1C=CC=C2
CO2,LP70,semi-ladder,CC1=CC(C2=CC(C)=C(*)C3=C2C=CC=C3)=C2C=CC=CC2=C1N1C(=O)C2=CC3=C(C=C2C1=O)C1(CC(C)(C)C2=CC4=C(C=C12)C(=O)N(*)C4=O)CC3(C)C
CO2,LP100,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(C)(C)C
CO2,LP92,semi-ladder,CC12C3=CC=C(*)C=C3C(C)(C3=C1C=CC=C3)C1=C2C=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2N=C(*)OC2=C1)(C(F)(F)F)C(F)(F)F
CO2,LP64,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F
CO2,LP73,semi-ladder,CC1=C(*)C2=CC=CC=C2C(=C1)C1=CC(C)=C(N2C(=O)C3=CC4=C(C=C3C2=O)C2(C)C3=C(C=CC=C3)C4(C)C3=C2C=C2C(=O)N(*)C(=O)C2=C3)C2=C1C=CC=C2
CO2,LP106,semi-ladder,CC(C)C12C3=CC(*)=C(*)C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2OC3=C(OC2=C1)C=C1C(=O)N(C(=O)C1=C3)C1=CC(=CC=C1O)C(C1=CC(N2C(=O)C3=C(C=C(O*)C(O*)=C3)C2=O)=C(O)C=C1)(C(F)(F)F)C(F)(F)F
CO2,LP66,semi-ladder,CC1=CC(*)=CC2=C1N1CN(C2)C2=C(C)C=C(C=C2C1)N1C(=O)C2=CC=C(OC3=CC4=C(C=C3)C(=O)N(*)C4=O)C=C2C1=O
CO2,LP23,semi-ladder,CC1=CC2=C(CN3CN2CC2=C3C=C(C)C(N3C(=O)C4=CC5=C(C=C4C3=O)C3(C4=CC6=C(C=C4C4=C3C=CC=C4)C(=O)N(*)C6=O)C3=C5C=CC=C3)=C2C)C(C)=C1*
CO2,LP76,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C=C2)C=CC(*)=C1
CO2,LP101,semi-ladder,CC(C)(C)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=C2C(=C1)C1=C(C=CC=C1)C21C2=C(C=CC=C2)C2=C1C=C(O)C(*)=C2)C(C)(C)C
CO2,LP102,semi-ladder,CC1(C)CC2(CC(C)(C)C3=C2C=C(O)C(=C3)N2C(=O)C3=C(C=C(C=C3)C(C3=CC=C4C(=O)N(*)C(=O)C4=C3)(C(F)(F)F)C(F)(F)F)C2=O)C2=CC(O)=C(*)C=C12
CO2,LP91,semi-ladder,CC12C3=C(C=CC=C3)C(C)(C3=C1C=C1C(=O)N(*)C(=O)C1=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C(O)C=CC(=C1)C(C1=CC=C(O)C(*)=C1)(C(F)(F)F)C(F)(F)F
CO2,LP75,Linear,FC(F)(F)C1=C(OC2=C3C4C5=C(C=CC=C5)C(C5=C4C=CC=C5)C3=C(OC3=C(C=C(C=C3)N3C(=O)C4=CC=C(OC5=CC=C(OC6=CC=C7C(=O)N(*)C(=O)C7=C6)C6=C5C5C7=C(C=CC=C7)C6C6=C5C=CC=C6)C=C4C3=O)C(F)(F)F)C3=C2C2C4=C(C=CC=C4)C3C3=C2C=CC=C3)C=CC(*)=C1
CO2,LP88,Linear,FC(F)(F)C(C1=CC2=C(OC(*)=N2)C=C1)(C1=CC2=C(OC(=N2)C2=CC(OC3=CC=C(OC4=CC=CC(*)=C4)C4=C3C3C5=C(C=CC=C5)C4C4=C3C=CC=C4)=CC=C2)C=C1)C(F)(F)F
